name,ph_seq,ph_dur
4_trhxn_10,SP t u r an h ao x i ang n i SP AP t u r an f eng l i d e h u ei i AP SP,0.108776 0.19 0.31 0.11 0.2975 0.1525 0.65 0.59 0.01 0.31 0.1 0.3 0.17 0.2925 0.0875 0.32 0.1 0.28 0.17 0.34 0.08 0.1575 0.0525 0.3 0.15 0.01 0.43 0.69 0.195 0.299677
4_slsz_17,SP uo ie x i ang SP z ai u ang q i an z ou AP,0.385057 1.28 0.43 0.43 0.01 0.685 0.045 0.13 0.57 0.01 0.02 0.39 0.01 0.02 0.12 0.305 0.30125
4_wzdssl_14,SP d i x ia d e i an l ei i t ing b u zh u l e SP AP,0.174104 0.15 0.21 0.19 0.2875 0.0825 0.55 0.01 0.01 0.3 0.33 0.29 0.19 0.28 0.13 0.61 0.19 0.64 0.2 0.745 0.225 0.53331
4_wzqad_32,SP i r an q in ai d e SP AP SP uo m ei r ang n i sh i u ang SP,0.1 0.3 0.09 0.31 0.18 0.17 0.41 0.08 0.47 0.13 0.28 0.05 0.21 0.08 0.1 0.07 0.32 0.11 0.12 0.49 0.01 0.01 1.85 0.35263
4_sh_24,b ie sh uo uo sh uo h SP,0.08 0.2775 0.1925 0.67 0.05 0.23 0.56 1.1 0.11406
4_zgz_2,SP uo sh i l ang h ua d e SP p ao m o SP AP SP,0.498866 0.05 0.2 0.2875 0.0825 0.27 0.14 0.16 0.11 0.385 0.125 0.31 0.03 0.12 0.555 0.245 0.105 0.09412
4_yhys_1,SP i zh ang x i ao f ang zh uo i ou i h u en SP i s u SP AP SP,0.556417 0.28 0.11 0.29 0.4 0.01 0.02 0.15 0.28 0.15 1.68 0.06 0.4 0.29 0.17 0.02 0.265 0.155 0.25 0.21 0.49 0.305 0.71 0.07137
4_nn_22,SP d ou k e SP i sh i zh en d e AP SP,0.342086 0.11 0.12 0.14 0.175 0.115 0.16 0.23 0.05 0.15 0.23 0.07 0.215 0.23 0.07163
4_jd_26,l i ang k e x in d ou m i h uo z en m e sh uo SP AP,0.17 0.01 0.13 0.12 0.12 0.16 0.14 0.1 0.3 0.17 0.3 0.19 0.28 0.16 0.07 0.15 0.12 0.21 0.88 0.19 0.25606
4_ycjh_22,SP sh ang i m i ao SP AP h ong zh e l i an z ai zh eng ch ao AP,0.278481 0.21 0.3575 0.2225 0.1275 0.0125 0.675 0.08 0.205 0.14 0.25 0.1 0.53 0.28 0.02 0.39 0.13 0.62 0.13 0.54 0.15 0.295 0.27038
