name,ph_seq,ph_dur
36_la_50,SP b u r ang n i SP u ei n an AP SP,0.229546 0.18 0.05 0.15 0.23 0.2 0.345 0.105 0.01 0.36 0.11 0.145 0.20481 0.281927
36_syst_24,b ie SP g spn uo t an x in AP zh i sh i b u spn x ing AP,0.15 0.045 0.055 0.2775 0.0325 0.06 0.21 0.2 0.3 0.345 0.305 0.1 0.04 0.34 0.01 0.07 0.5 0.0525 0.2475 0.25 0.35744
36_yxqc_43,SP x i ang h e n i SP spn u zh i b i x ie v sh eng d e SP spn i an zh ang AP,0.446667 0.2675 0.0125 0.0375 0.1225 0.1975 0.0725 0.08 0.12 0.07 0.35 0.12 0.14 0.12 0.09 0.18 0.15 0.19 0.19 0.17 0.05 0.05 0.18 0.03 0.02 0.33 0.09 0.26 0.35031
36_nn_7,m ao t an b an d e h ou zh ong g an SP,0.09 0.12 0.16 0.18 0.08 0.2 0.08 0.12 0.17 0.14 0.14 0.18 0.1 0.2 0.500979
36_wyy_23,sh en m e d ou spn i SP AP,0.28 0.3075 0.1025 0.2275 0.1625 0.28 0.06 0.95 0.095 0.53044
36_yxqc_22,SP uo m en b u s an ch ang SP,0.1 0.1775 0.0925 0.17 0.07 0.05 0.21 0.31 0.2 1.085 0.806439
36_mtnh_24,sh i SP j i an t a z ong sh uo h u ang SP,0.29 0.02 0.19 0.11 0.03 0.1475 0.1125 0.2 0.12 0.67 0.22 0.19 0.17 0.02 0.185 0.34363
36_trhxn_2,z u ei SP spn a h u ei AP SP i SP t u r an f an SP g u en j i ao t ong zh e SP b u SP spn ing x i,0.21 0.01 0.215 0.185 0.03 0.235 0.175 0.02 0.24 0.12 0.05 0.325 0.405 0.14 0.26 0.08 0.14 0.2 0.265 0.205 0.13 0.01 0.2675 0.1625 0.01 0.25 0.17 0.15 0.18 0.26 0.35 0.08 0.145 0.155 0.05 0.31 0.26 0.23738
36_nn_43,d a c ong x in l i n uan n uan d e SP,0.1 0.1675 0.1625 0.125 0.175 0.1475 0.1425 0.13 0.14 0.17 0.12 0.2175 0.0825 0.17 0.31844
36_nn_42,SP ai i g e r en x i u ang t a g uo g eng h ao AP SP,0.344671 0.6075 0.1825 0.18 0.15 0.13 0.41 0.18 0.25 0.02 0.2075 0.1025 0.415 0.175 0.14 0.13 0.14 0.17 0.35 0.61112 0.102449
36_yxqc_20,x i ang h e n i SP spn u zh i b i x ie v sh eng SP d e AP spn i an zh ang AP SP,0.2275 0.0125 0.0675 0.1225 0.1975 0.0625 0.1 0.12 0.05 0.33 0.14 0.13 0.13 0.08 0.18 0.22 0.13 0.21 0.02 0.12 0.06 0.095 0.1675 0.0375 0.02 0.33 0.12 0.205 0.35531 0.179819
36_nbzdds_11,SP uo u ei sh en m e AP l i SP k ai n i SP AP,0.129683 0.01 0.01 0.775 0.215 0.34 0.04 0.24 0.405 0.065 0.36 0.08 0.25 0.5 0.13 0.08 0.16 0.21775
36_hsgddj_2,SP v x ia z ai sh en c e ch uan x ing SP,0.21 0.04 0.21 0.13 0.16 0.3 0.23 0.14 0.18 0.23 0.22 0.26 0.3 0.41 0.744202
36_zgz_6,n i sh i i ao spn d e x ing h e SP,0.18 0.2 0.5375 0.4925 0.01 0.01 0.3 0.05 0.33 0.22 0.26 0.15 0.24 0.67198
36_ybkjdn_28,SP u ei l e zh ao d ao n i AP SP,0.35 0.01 0.02 0.12 0.19 0.19 0.74 0.12 0.72 0.11 0.25 0.45406 0.197098
36_mtnh_31,SP m ei SP i c i SP k u SP,0.125011 0.16 0.17 0.1 0.15 0.25 0.32 0.09 0.19 0.55 0.31881
36_wyy_3,zh uan i an SP t u en m o SP uo SP z ai j i SP m o l i AP,0.23 0.3375 0.0225 1.295 0.415 0.13 0.02 0.08 0.22 0.565 0.195 0.19 0.06 0.17 0.47 0.34 0.44 0.16 0.07 0.29 0.11 0.015 0.25862
